type,path
test,nw/adj/ZBN20001112.0400.0003
test,nw/adj/XIN20001221.1400.0139
test,nw/adj/XIN20001220.2000.0156
test,nw/adj/XIN20001003.1400.0058
test,nw/adj/XIN20001002.0800.0038
test,nw/adj/XIN20001203.0800.0031
test,nw/adj/XIN20001010.1400.0104
test,nw/adj/XIN20001216.0200.0004
test,nw/adj/XIN20001009.0800.0048
test,nw/adj/XIN20001224.2000.0076
test,nw/adj/XIN20001001.2000.0152
test,nw/adj/XIN20001029.2000.0119
test,nw/adj/XIN20001108.0800.0068
test,nw/adj/XIN20001224.0800.0044
test,nw/adj/ZBN20001206.0400.0005
test,nw/adj/XIN20001228.0200.0038
test,nw/adj/XIN20001102.1400.0144
test,nw/adj/XIN20001108.0200.0029
test,nw/adj/XIN20001013.0200.0029
test,nw/adj/XIN20001218.2000.0162
test,nw/adj/XIN20001125.0800.0031
test,nw/adj/XIN20001005.0200.0010
test,nw/adj/ZBN20001228.0400.0017
test,nw/adj/XIN20001008.1400.0097
test,nw/adj/XIN20001220.2000.0158
test,nw/adj/XIN20001201.2000.0146
test,nw/adj/XIN20001102.1400.0144
test,nw/adj/ZBN20001103.0400.0017
test,nw/adj/XIN20001215.0200.0037
test,nw/adj/XIN20001008.1400.0097
test,nw/adj/XIN20001125.2000.0094
test,nw/adj/ZBN20001129.0400.0012
test,nw/adj/XIN20001101.1400.0121
test,nw/adj/XIN20001125.2000.0094
test,nw/adj/XIN20001003.0200.0013
test,nw/adj/ZBN20001224.0400.0010
test,nw/adj/XIN20001021.2000.0142
test,nw/adj/XIN20001103.0800.0078
test,nw/adj/XIN20001224.2000.0076
test,nw/adj/XIN20001002.2000.0081
test,nw/adj/XIN20001029.2000.0119
test,nw/adj/XIN20001231.0200.0020
test,nw/adj/XIN20001001.1400.0096
test,nw/adj/XIN20001215.0200.0037
test,nw/adj/ZBN20001205.0400.0011
test,nw/adj/ZBN20001217.0400.0001
test,nw/adj/XIN20001002.0800.0041
test,nw/adj/XIN20001231.0200.0010
test,nw/adj/XIN20001214.0200.0014
test,nw/adj/XIN20001217.1400.0060
test,nw/adj/XIN20001225.2000.0134
test,nw/adj/ZBN20001203.0400.0003
test,nw/adj/XIN20001120.0800.0058
test,nw/adj/XIN20001013.0200.0029
test,nw/adj/XIN20001019.0800.0071
test,nw/adj/XIN20001127.0200.0014
test,nw/adj/XIN20001012.0800.0081
test,nw/adj/ZBN20001206.1300.0036
test,nw/adj/XIN20001216.0200.0004
test,nw/adj/XIN20001124.2000.0148
test,nw/adj/ZBN20001116.1300.0045
test,nw/adj/XIN20001222.0800.0090
test,nw/adj/XIN20001001.2000.0152
test,nw/adj/XIN20001014.0200.0014
dev,nw/adj/XIN20001023.2000.0158
dev,nw/adj/XIN20001224.1400.0066
dev,nw/adj/XIN20001004.1400.0069
dev,nw/adj/XIN20001024.2000.0153
dev,nw/adj/XIN20001121.1400.0098
dev,nw/adj/XIN20001115.0800.0090
dev,nw/adj/XIN20001107.0200.0005
dev,nw/adj/XIN20001207.0200.0021
dev,nw/adj/XIN20001124.0200.0001
dev,nw/adj/XIN20001007.0800.0037
dev,nw/adj/XIN20001002.2000.0081
dev,nw/adj/XIN20001205.2000.0143
dev,nw/adj/ZBN20001231.0400.0011
dev,nw/adj/XIN20001107.2000.0150
dev,nw/adj/XIN20001125.0200.0008
dev,nw/adj/XIN20001218.2000.0162
dev,nw/adj/XIN20001024.2000.0141
dev,nw/adj/ZBN20001231.0400.0006
dev,nw/adj/XIN20001001.1400.0096
dev,nw/adj/XIN20001003.0200.0005
dev,nw/adj/ZBN20001205.0400.0014
dev,nw/adj/ZBN20001231.0400.0011
dev,nw/adj/ZBN20001119.1300.0039
dev,nw/adj/XIN20001024.2000.0153
dev,nw/adj/XIN20001220.2000.0158
dev,nw/adj/XIN20001003.0200.0005
dev,bn/adj/CTS20001118.1300.0425
dev,bn/adj/CTV20001030.1330.1412
dev,bn/adj/CTS20001226.2000.0407
dev,bn/adj/VOM20001022.1800.1220
dev,bn/adj/CTV20001208.1330.1585
dev,bn/adj/CTV20001127.1330.0329
dev,bn/adj/VOM20001018.1800.0119
dev,bn/adj/CNR20001201.1700.0558
dev,bn/adj/CTV20001017.1330.0441
dev,bn/adj/CTV20001208.1330.0743
dev,bn/adj/CTS20001112.1300.0306
dev,bn/adj/CTV20001021.1530.0743
dev,bn/adj/CTV20001003.1330.0000
dev,bn/adj/CBS20001220.1000.0533
dev,bn/adj/VOM20001129.0700.0798
dev,bn/adj/CTS20001019.1300.0508
dev,bn/adj/CTS20001009.1300.0388
dev,bn/adj/CBS20001103.1000.0823
dev,bn/adj/CTV20001228.1330.1196
dev,bn/adj/CBS20001111.1000.1024
dev,bn/adj/CTS20001121.1300.0182
dev,bn/adj/VOM20001129.0700.0363
dev,bn/adj/CTV20001017.1330.0441
dev,bn/adj/CTV20001227.1330.1536
dev,bn/adj/VOM20001028.1800.3128
dev,bn/adj/CTV20001005.1330.1455
dev,wl/adj/LIUYIFENG_20050128.0841
dev,wl/adj/DAVYZW_20050118.1045
dev,wl/adj/NJWSL_20050102.1510
dev,wl/adj/NJWSL_20041223.0945
dev,wl/adj/LIUYIFENG_20050115.1748
dev,wl/adj/DAVYZW_20050111.1514
dev,wl/adj/LIUYIFENG_20050128.1005
dev,wl/adj/LIUYIFENG_20050128.0841
dev,wl/adj/DAVYZW_20050125.1704
dev,wl/adj/GLOVEBX_20041119.0805
dev,wl/adj/LIUYIFENG_20050126.0840
dev,wl/adj/GLOVEBX_20041105.0620
train,nw/adj/XIN20001127.0800.0053
train,nw/adj/XIN20001209.1400.0058
train,nw/adj/ZBN20001011.0400.0018
train,nw/adj/ZBN20001029.0400.0001
train,nw/adj/XIN20001017.2000.0178
train,nw/adj/XIN20001114.0800.0046
train,nw/adj/XIN20001104.2000.0121
train,nw/adj/XIN20001215.2000.0149
train,nw/adj/XIN20001118.2000.0108
train,nw/adj/XIN20001219.2000.0158
train,nw/adj/XIN20001210.0800.0043
train,nw/adj/ZBN20001030.0400.0007
train,nw/adj/XIN20001028.2000.0132
train,nw/adj/XIN20001031.1400.0121
train,nw/adj/XIN20001124.1400.0105
train,nw/adj/XIN20001227.1400.0101
train,nw/adj/XIN20001227.0800.0057
train,nw/adj/ZBN20001017.0400.0003
train,nw/adj/ZBN20001224.1300.0037
train,nw/adj/XIN20001130.0800.0091
train,nw/adj/XIN20001117.0200.0026
train,nw/adj/XIN20001120.1400.0079
train,nw/adj/XIN20001020.0200.0006
train,nw/adj/XIN20001207.0800.0071
train,nw/adj/XIN20001124.1400.0090
train,nw/adj/ZBN20001119.0400.0006
train,nw/adj/XIN20001215.2000.0158
train,nw/adj/ZBN20001201.1300.0048
train,nw/adj/XIN20001123.0800.0075
train,nw/adj/XIN20001226.1400.0090
train,nw/adj/XIN20001223.0800.0057
train,nw/adj/XIN20001115.0800.0077
train,nw/adj/XIN20001111.0200.0003
train,nw/adj/XIN20001224.0800.0034
train,nw/adj/XIN20001203.1400.0063
train,nw/adj/XIN20001218.2000.0158
train,nw/adj/ZBN20001223.1300.0044
train,nw/adj/XIN20001102.2000.0203
train,nw/adj/XIN20001003.1400.0054
train,nw/adj/ZBN20001027.1300.0041
train,nw/adj/XIN20001216.1400.0090
train,nw/adj/XIN20001222.0800.0076
train,nw/adj/XIN20001006.0200.0021
train,nw/adj/XIN20001107.2000.0154
train,nw/adj/ZBN20001114.0400.0030
train,nw/adj/ZBN20001120.0400.0004
train,nw/adj/XIN20001206.0800.0074
train,nw/adj/ZBN20001105.0400.0004
train,nw/adj/XIN20001002.2000.0087
train,nw/adj/XIN20001103.0200.0040
train,nw/adj/XIN20001124.0200.0025
train,nw/adj/XIN20001219.1400.0115
train,nw/adj/XIN20001119.0200.0016
train,nw/adj/XIN20001231.1400.0076
train,nw/adj/XIN20001125.0800.0032
train,nw/adj/XIN20001002.2000.0101
train,nw/adj/XIN20001101.0800.0062
train,nw/adj/XIN20001126.2000.0101
train,nw/adj/XIN20001227.1400.0099
train,nw/adj/XIN20001209.0800.0050
train,nw/adj/XIN20001008.0200.0020
train,nw/adj/ZBN20001119.1300.0040
train,nw/adj/XIN20001227.2000.0137
train,nw/adj/XIN20001007.0200.0014
train,nw/adj/XIN20001022.0200.0027
train,nw/adj/XIN20001221.1400.0143
train,nw/adj/ZBN20001210.0400.0005
train,nw/adj/ZBN20001220.1300.0037
train,nw/adj/XIN20001217.2000.0089
train,nw/adj/XIN20001008.0200.0007
train,nw/adj/XIN20001216.1400.0085
train,nw/adj/ZBN20001031.0400.0013
train,nw/adj/ZBN20001007.1300.0047
train,nw/adj/XIN20001112.0200.0026
train,nw/adj/XIN20001015.0800.0056
train,nw/adj/XIN20001130.1400.0106
train,nw/adj/XIN20001026.2000.0178
train,nw/adj/XIN20001008.0200.0025
train,nw/adj/XIN20001212.1400.0120
train,nw/adj/XIN20001129.0200.0039
train,nw/adj/XIN20001114.0200.0027
train,nw/adj/XIN20001009.0800.0058
train,nw/adj/XIN20001031.0800.0085
train,nw/adj/XIN20001122.1400.0074
train,nw/adj/XIN20001126.1400.0081
train,nw/adj/XIN20001003.0200.0015
train,nw/adj/XIN20001020.0200.0018
train,nw/adj/XIN20001207.1400.0076
train,nw/adj/ZBN20001020.1300.0060
train,nw/adj/XIN20001002.0200.0004
train,nw/adj/XIN20001003.0800.0025
train,nw/adj/XIN20001113.0800.0051
train,nw/adj/XIN20001223.2000.0095
train,nw/adj/ZBN20001218.0400.0005
train,nw/adj/XIN20001109.0800.0062
train,nw/adj/XIN20001012.0800.0089
train,nw/adj/XIN20001218.0800.0088
train,nw/adj/XIN20001224.0200.0016
train,nw/adj/XIN20001016.2000.0150
train,nw/adj/XIN20001031.0800.0094
train,nw/adj/XIN20001224.0800.0046
train,nw/adj/XIN20001021.2000.0143
train,nw/adj/XIN20001007.0200.0020
train,nw/adj/XIN20001121.0200.0021
train,nw/adj/XIN20001114.0200.0012
train,nw/adj/XIN20001028.0200.0025
train,nw/adj/XIN20001202.0800.0050
train,nw/adj/XIN20001009.0200.0005
train,nw/adj/XIN20001122.2000.0154
train,nw/adj/XIN20001201.0200.0031
train,nw/adj/ZBN20001003.0400.0013
train,nw/adj/XIN20001225.0800.0058
train,nw/adj/XIN20001128.1400.0102
train,nw/adj/XIN20001225.0200.0001
train,nw/adj/ZBN20001217.1300.0038
train,nw/adj/XIN20001013.0200.0027
train,nw/adj/XIN20001017.2000.0161
train,nw/adj/XIN20001126.0800.0042
train,nw/adj/XIN20001224.0800.0043
train,nw/adj/XIN20001017.0200.0011
train,nw/adj/XIN20001003.0800.0031
train,nw/adj/XIN20001013.0200.0001
train,nw/adj/XIN20001213.0800.0063
train,nw/adj/XIN20001125.1400.0078
train,nw/adj/XIN20001017.0800.0058
train,nw/adj/XIN20001228.0800.0053
train,nw/adj/ZBN20001106.0400.0026
train,nw/adj/XIN20001101.1400.0137
train,nw/adj/XIN20001104.1400.0093
train,nw/adj/XIN20001008.1400.0061
train,nw/adj/XIN20001124.1400.0093
train,nw/adj/XIN20001226.0800.0050
train,nw/adj/XIN20001212.0200.0015
train,nw/adj/ZBN20001205.0400.0017
train,nw/adj/XIN20001216.1400.0069
train,nw/adj/XIN20001110.0200.0029
train,nw/adj/XIN20001209.2000.0082
train,nw/adj/XIN20001003.0200.0001
train,nw/adj/XIN20001209.0200.0008
train,nw/adj/XIN20001007.0800.0042
train,nw/adj/XIN20001229.1400.0101
train,nw/adj/XIN20001112.0800.0040
train,nw/adj/XIN20001216.1400.0068
train,nw/adj/XIN20001123.0200.0009
train,nw/adj/ZBN20001224.0400.0009
train,nw/adj/ZBN20001008.0400.0004
train,nw/adj/XIN20001015.1400.0075
train,nw/adj/XIN20001221.2000.0152
train,nw/adj/XIN20001002.1400.0078
train,nw/adj/XIN20001230.0800.0047
train,nw/adj/XIN20001108.2000.0158
train,nw/adj/XIN20001223.0200.0030
train,nw/adj/ZBN20001029.0400.0012
train,nw/adj/ZBN20001210.0400.0021
train,nw/adj/XIN20001105.0200.0011
train,nw/adj/XIN20001130.0800.0046
train,nw/adj/XIN20001215.0200.0008
train,nw/adj/XIN20001012.0800.0084
train,nw/adj/ZBN20001108.1300.0050
train,nw/adj/XIN20001004.0800.0046
train,nw/adj/XIN20001017.1400.0130
train,nw/adj/XIN20001114.1400.0092
train,nw/adj/ZBN20001120.0400.0006
train,nw/adj/XIN20001114.0200.0017
train,bn/adj/CNR20001225.1700.0291
train,bn/adj/VOM20001008.1800.0011
train,bn/adj/CNR20001204.1700.1021
train,bn/adj/CBS20001021.1000.0734
train,bn/adj/CNR20001218.1700.0890
train,bn/adj/CNR20001008.1700.0510
train,bn/adj/VOM20001024.1800.2163
train,bn/adj/CTV20001024.1330.1118
train,bn/adj/CTV20001011.1330.0522
train,bn/adj/CBS20001106.1000.1007
train,bn/adj/CTV20001021.1530.1567
train,bn/adj/CBS20001102.1000.0558
train,bn/adj/CNR20001001.1700.0426
